X 1: Position X,Unit,Category,Collection,Y 1: Position Y,Unit,Category,Collection,Position_Z
1107,um,Spot,Position,586,um,Spot,Position,307
-143,um,Spot,Position,1644,um,Spot,Position,281
290,um,Spot,Position,1772,um,Spot,Position,318
-98.8,um,Spot,Position,-562,um,Spot,Position,444
-255,um,Spot,Position,55.3,um,Spot,Position,406
-323,um,Spot,Position,-113,um,Spot,Position,444
-409,um,Spot,Position,174,um,Spot,Position,445
-43,um,Spot,Position,83.5,um,Spot,Position,417
50.3,um,Spot,Position,75.2,um,Spot,Position,441
263,um,Spot,Position,254,um,Spot,Position,437
-746,um,Spot,Position,426,um,Spot,Position,378
-222,um,Spot,Position,667,um,Spot,Position,382
-572,um,Spot,Position,380,um,Spot,Position,443
144,um,Spot,Position,672,um,Spot,Position,411
91.5,um,Spot,Position,480,um,Spot,Position,425
72.6,um,Spot,Position,332,um,Spot,Position,445
329,um,Spot,Position,530,um,Spot,Position,408
450,um,Spot,Position,534,um,Spot,Position,431
341,um,Spot,Position,418,um,Spot,Position,442
433,um,Spot,Position,544,um,Spot,Position,448
-819,um,Spot,Position,841,um,Spot,Position,442
-569,um,Spot,Position,733,um,Spot,Position,365
-292,um,Spot,Position,991,um,Spot,Position,431
-277,um,Spot,Position,942,um,Spot,Position,436
-404,um,Spot,Position,1070,um,Spot,Position,435
-249,um,Spot,Position,994,um,Spot,Position,443
133,um,Spot,Position,992,um,Spot,Position,431
-125,um,Spot,Position,933,um,Spot,Position,439
180,um,Spot,Position,772,um,Spot,Position,441
82.1,um,Spot,Position,774,um,Spot,Position,444
137,um,Spot,Position,828,um,Spot,Position,443
671,um,Spot,Position,716,um,Spot,Position,338
459,um,Spot,Position,912,um,Spot,Position,405
417,um,Spot,Position,1064,um,Spot,Position,402
644,um,Spot,Position,863,um,Spot,Position,412
418,um,Spot,Position,723,um,Spot,Position,417
510,um,Spot,Position,719,um,Spot,Position,447
516,um,Spot,Position,913,um,Spot,Position,446
308,um,Spot,Position,980,um,Spot,Position,444
952,um,Spot,Position,726,um,Spot,Position,352
688,um,Spot,Position,874,um,Spot,Position,416
931,um,Spot,Position,682,um,Spot,Position,424
725,um,Spot,Position,890,um,Spot,Position,430
925,um,Spot,Position,1087,um,Spot,Position,430
789,um,Spot,Position,900,um,Spot,Position,443
1280,um,Spot,Position,1055,um,Spot,Position,421
-489,um,Spot,Position,1133,um,Spot,Position,377
-172,um,Spot,Position,1428,um,Spot,Position,377
-431,um,Spot,Position,1519,um,Spot,Position,413
-437,um,Spot,Position,1444,um,Spot,Position,427
-161,um,Spot,Position,1349,um,Spot,Position,379
-136,um,Spot,Position,1217,um,Spot,Position,419
-61.2,um,Spot,Position,1251,um,Spot,Position,417
26.5,um,Spot,Position,1268,um,Spot,Position,417
-85.4,um,Spot,Position,1347,um,Spot,Position,433
480,um,Spot,Position,1128,um,Spot,Position,345
273,um,Spot,Position,1390,um,Spot,Position,383
343,um,Spot,Position,1133,um,Spot,Position,418
278,um,Spot,Position,1168,um,Spot,Position,432
374,um,Spot,Position,1152,um,Spot,Position,434
365,um,Spot,Position,1256,um,Spot,Position,442
883,um,Spot,Position,1374,um,Spot,Position,412
1093,um,Spot,Position,1137,um,Spot,Position,435
1130,um,Spot,Position,1394,um,Spot,Position,414
1199,um,Spot,Position,1462,um,Spot,Position,426
1177,um,Spot,Position,1500,um,Spot,Position,445
1677,um,Spot,Position,1500,um,Spot,Position,413
-187,um,Spot,Position,1734,um,Spot,Position,443
62.3,um,Spot,Position,1718,um,Spot,Position,434
197,um,Spot,Position,1746,um,Spot,Position,445
360,um,Spot,Position,1573,um,Spot,Position,403
565,um,Spot,Position,1540,um,Spot,Position,411
432,um,Spot,Position,1748,um,Spot,Position,447
846,um,Spot,Position,1608,um,Spot,Position,354
738,um,Spot,Position,1552,um,Spot,Position,437
826,um,Spot,Position,1578,um,Spot,Position,441
892,um,Spot,Position,1615,um,Spot,Position,445
-154,um,Spot,Position,-275,um,Spot,Position,474
1067,um,Spot,Position,-258,um,Spot,Position,515
-639,um,Spot,Position,242,um,Spot,Position,510
-627,um,Spot,Position,83,um,Spot,Position,515
-618,um,Spot,Position,182,um,Spot,Position,515
-380,um,Spot,Position,188,um,Spot,Position,464
-238,um,Spot,Position,155,um,Spot,Position,515
-211,um,Spot,Position,187,um,Spot,Position,515
-337,um,Spot,Position,191,um,Spot,Position,515
-297,um,Spot,Position,222,um,Spot,Position,515
-341,um,Spot,Position,227,um,Spot,Position,515
-183,um,Spot,Position,231,um,Spot,Position,515
-255,um,Spot,Position,245,um,Spot,Position,515
219,um,Spot,Position,88.5,um,Spot,Position,451
-27.4,um,Spot,Position,-28.8,um,Spot,Position,472
26.8,um,Spot,Position,140,um,Spot,Position,486
251,um,Spot,Position,37.9,um,Spot,Position,496
231,um,Spot,Position,242,um,Spot,Position,492
64.3,um,Spot,Position,175,um,Spot,Position,502
135,um,Spot,Position,248,um,Spot,Position,504
12.4,um,Spot,Position,237,um,Spot,Position,505
-6.52,um,Spot,Position,245,um,Spot,Position,509
125,um,Spot,Position,-111,um,Spot,Position,515
238,um,Spot,Position,-13.7,um,Spot,Position,515
42.7,um,Spot,Position,35.1,um,Spot,Position,515
-135,um,Spot,Position,44.4,um,Spot,Position,515
171,um,Spot,Position,57.7,um,Spot,Position,515
-26,um,Spot,Position,76.4,um,Spot,Position,515
77.3,um,Spot,Position,76.7,um,Spot,Position,515
-118,um,Spot,Position,103,um,Spot,Position,515
182,um,Spot,Position,108,um,Spot,Position,515
-138,um,Spot,Position,111,um,Spot,Position,515
30.2,um,Spot,Position,111,um,Spot,Position,515
205,um,Spot,Position,112,um,Spot,Position,515
-92.8,um,Spot,Position,136,um,Spot,Position,515
235,um,Spot,Position,137,um,Spot,Position,515
135,um,Spot,Position,152,um,Spot,Position,515
-149,um,Spot,Position,165,um,Spot,Position,515
-31.8,um,Spot,Position,163,um,Spot,Position,515
28.4,um,Spot,Position,178,um,Spot,Position,515
114,um,Spot,Position,177,um,Spot,Position,515
190,um,Spot,Position,176,um,Spot,Position,515
-71.6,um,Spot,Position,182,um,Spot,Position,515
-128,um,Spot,Position,187,um,Spot,Position,515
93.5,um,Spot,Position,187,um,Spot,Position,515
231,um,Spot,Position,193,um,Spot,Position,515
-48.7,um,Spot,Position,204,um,Spot,Position,515
-125,um,Spot,Position,222,um,Spot,Position,515
-51.1,um,Spot,Position,227,um,Spot,Position,515
164,um,Spot,Position,228,um,Spot,Position,515
-141,um,Spot,Position,243,um,Spot,Position,515
496,um,Spot,Position,-80.2,um,Spot,Position,462
618,um,Spot,Position,217,um,Spot,Position,482
425,um,Spot,Position,254,um,Spot,Position,503
547,um,Spot,Position,-147,um,Spot,Position,509
561,um,Spot,Position,14.4,um,Spot,Position,507
516,um,Spot,Position,92.5,um,Spot,Position,508
397,um,Spot,Position,224,um,Spot,Position,506
293,um,Spot,Position,253,um,Spot,Position,511
483,um,Spot,Position,255,um,Spot,Position,505
258,um,Spot,Position,-11.3,um,Spot,Position,515
276,um,Spot,Position,88.8,um,Spot,Position,515
363,um,Spot,Position,106,um,Spot,Position,515
541,um,Spot,Position,114,um,Spot,Position,515
553,um,Spot,Position,117,um,Spot,Position,515
361,um,Spot,Position,122,um,Spot,Position,515
441,um,Spot,Position,131,um,Spot,Position,515
546,um,Spot,Position,138,um,Spot,Position,515
466,um,Spot,Position,146,um,Spot,Position,515
521,um,Spot,Position,159,um,Spot,Position,515
671,um,Spot,Position,173,um,Spot,Position,515
316,um,Spot,Position,180,um,Spot,Position,515
411,um,Spot,Position,180,um,Spot,Position,515
545,um,Spot,Position,198,um,Spot,Position,515
491,um,Spot,Position,208,um,Spot,Position,515
602,um,Spot,Position,209,um,Spot,Position,515
280,um,Spot,Position,217,um,Spot,Position,515
340,um,Spot,Position,224,um,Spot,Position,515
635,um,Spot,Position,230,um,Spot,Position,515
755,um,Spot,Position,-97.3,um,Spot,Position,465
947,um,Spot,Position,251,um,Spot,Position,489
1036,um,Spot,Position,107,um,Spot,Position,494
967,um,Spot,Position,243,um,Spot,Position,496
776,um,Spot,Position,131,um,Spot,Position,504
713,um,Spot,Position,161,um,Spot,Position,498
924,um,Spot,Position,-81.1,um,Spot,Position,515
1030,um,Spot,Position,46.1,um,Spot,Position,515
714,um,Spot,Position,190,um,Spot,Position,515
692,um,Spot,Position,224,um,Spot,Position,515
725,um,Spot,Position,254,um,Spot,Position,515
1118,um,Spot,Position,200,um,Spot,Position,497
1305,um,Spot,Position,4.8,um,Spot,Position,515
1119,um,Spot,Position,242,um,Spot,Position,515
-751,um,Spot,Position,619,um,Spot,Position,465
-833,um,Spot,Position,545,um,Spot,Position,505
-596,um,Spot,Position,622,um,Spot,Position,504
-653,um,Spot,Position,632,um,Spot,Position,505
-622,um,Spot,Position,669,um,Spot,Position,504
-989,um,Spot,Position,317,um,Spot,Position,515
-619,um,Spot,Position,442,um,Spot,Position,515
-901,um,Spot,Position,444,um,Spot,Position,515
-190,um,Spot,Position,321,um,Spot,Position,465
-388,um,Spot,Position,557,um,Spot,Position,465
-187,um,Spot,Position,493,um,Spot,Position,479
-170,um,Spot,Position,562,um,Spot,Position,482
-207,um,Spot,Position,594,um,Spot,Position,483
-184,um,Spot,Position,598,um,Spot,Position,481
-217,um,Spot,Position,480,um,Spot,Position,490
-205,um,Spot,Position,562,um,Spot,Position,484
-462,um,Spot,Position,568,um,Spot,Position,486
-235,um,Spot,Position,652,um,Spot,Position,484
-268,um,Spot,Position,673,um,Spot,Position,489
-496,um,Spot,Position,364,um,Spot,Position,492
-185,um,Spot,Position,429,um,Spot,Position,494
-265,um,Spot,Position,487,um,Spot,Position,494
-431,um,Spot,Position,641,um,Spot,Position,497
-329,um,Spot,Position,641,um,Spot,Position,494
-375,um,Spot,Position,646,um,Spot,Position,493
-327,um,Spot,Position,664,um,Spot,Position,492
-315,um,Spot,Position,671,um,Spot,Position,493
-410,um,Spot,Position,325,um,Spot,Position,500
-301,um,Spot,Position,418,um,Spot,Position,502
